Long Car Name,Short Car Name,Valuable,Value Seen In Auction House
Apollo Intensa Emozione (2019),Apollo IE '19,true,20000000
Aston Martin DBS Superleggera (2019),AM DBS SL '19,true,11000000
Aston Martin Valhalla Concept Car (2019),Valhalla Concept,true,10000000
Audi Sport Quattro (1983),Audi quattro,true,1000000
Bentley Bentayga (2016),Bentley Bentayga,true,3000000
Casey Currie Motorsports #4402 Ultra 4 'Trophy Jeep' (2019),#4402 Ultra 4,true,2000000
Chevrolet Corvette (1960),Corvette '60,true,1000000
Chevrolet Corvette ZR1 (2019),Corvette '19,true,5000000
Dodge Challenger R/T (1970),Challenger '70,true,1500000
Dodge Dart HEMI Super Stock (1968),Dodge Dart '68,true,3000000
Dodge Viper ACR (2016),Dodge Viper '16,true,3000000
Ferrari 288 GTO (1984),Ferrari 288 GTO,true,1300000
Ferrari 512 TR (1992),Ferrari 512TR,true,3000000
Ferrari 599XX Evolution (2012),Ferrari 599XX E,true,5000000
Ferrari F8 Tributo (2019),F8 Tributo '19,true,5000000
Ford F-150 Lightning (2022),F-150 Lightning,true,4000000
Ford F-150 XLT Lariat Forza Edition (1986),Ford F-150 FE,false,400000
Ford M-Sport Fiesta RS (2017),Ford Fiesta RS,false,100000
Ford Mustang 2+2 Fastback Forza Edition (1968),Mustang FE '68,false,80000
Ford Ranger T6 Rally Raid (2014),Ford Ranger T6,false,100000
Ford Super Duty F-450 DRW Platinum Forza Edition (2020),Ford F-450 FE,false,700000
Formula Drift #13 Ford Mustang (2015),#13 Ford Mustang,true,1000000
Formula Drift #43 Dodge Viper SRT-10 (2006),#43 Dodge Viper,true,2000000
Hennessey Venom GT (2012),Venom GT,true,3000000
Jaguar E-Type (1961),Jaguar E-type,false,800000
Koenigsegg One:1 (2015),Koenigsegg One,true,5000000
Lamborghini Aventador LP700-4 (2012),Aventador '12,true,4000000
Lamborghini Diablo GTR (1999),Diablo GTR,false,900000
Lamborghini Sesto Elemento (2011),Lambo Sesto,true,9000000
McLaren 620R (2021),McLaren 620R,true,5000000
Mercedes-AMG GT 4-Door Coupé (2018),M-B GT 4 '18,true,3000000
Mercedes-Benz 190E 2.5-16 Evolution II Forza Edition (1990),MB 190 E FE,false,300000
Mercedes-Benz AMG CLK GTR (1998),M-B CLK-GTR,true,4000000
Mercedes-Benz G 63 AMG 6x6 (2014),M-B G 63 6x6,true,1000000
Nissan 240SX (1993),Nissan 240SX '93,true,13000000
Nissan GT-R Black Edition (R35) Forza Edition (2012),GT-R FE '12,true,2000000
Nissan S-Cargo Forza Edition (1989),S-Cargo FE,false,140000
Porsche #3 917 LH Forza Edition (1970),Porsche 917 FE,false,200000
Porsche 911 GT2 (1995),911 GT2 '95,true,2000000
Porsche 911 GT3 RS (2019),911 GT3 RS '19,true,3000000
Rimac Nevera (2021),Rimac Nevera,true,2000000
RJ Anderson #37 Polaris RZR Pro 4 Truck (2021),#37 Pro 4 Truck,false,15000
Wuling Sunshine S Forza Edition (2020),Sunshine FE,false,300000
